MVP;SS16;FB14;1664;38471;44469;290;2644
NDS;SS16;FB14;2060;44563;37121;318;2608
NDS;SS15;FB14;2106;35472;40300;278;2850
NRW;SS17;FB14;1930;44884;38787;314;3488
NRW;SS16;FB14;2114;40959;38567;296;2896
NRW;SS15;FB14;1776;38942;41169;292;3149
NRW;WS1718;FB14;2035;39890;41975;297;3189
NRW;WS1617;FB14;1812;38384;43736;279;2984
NRW;WS1415;FB14;1729;43473;35798;296;2971
RPF;SS18;FB14;2150;42487;36630;288;2761
RPF;SS17;FB14;2091;44643;42566;297;3236
RPF;SS16;FB14;1925;44837;43414;294;3420
RPF;SS15;FB14;1926;40880;38518;275;2978
RPF;WS1718;FB14;2106;35472;40300;278;2850
RPF;WS1617;FB14;2091;40223;43717;309;3063
RPF;WS1516;FB14;1859;38336;43580;279;2998
RPF;WS1415;FB14;2020;35709;40499;319;3019
SAA;SS18;FB14;1914;38816;38864;303;2520
SAA;SS17;FB14;2200;39732;36197;308;2811
SAA;SS16;FB14;2027;44205;35098;320;3335
SAA;SS15;FB14;2331;39238;36972;309;3029
SAA;WS1718;FB14;2184;38771;43877;309;2878
SAA;WS1617;FB14;1664;38471;44469;290;2644
SAA;WS1516;FB14;1812;38384;43736;279;2984
SAA;WS1415;FB14;1892;42372;38313;310;2647
SAC;SS16;FB14;1947;38215;42262;288;2953
SAC;SS15;FB14;1913;39506;41689;282;2721
SAC;WS1718;FB14;1788;41821;37427;280;3475
SAC;WS1617;FB14;2246;40437;37714;324;3207
SAC;WS1516;FB14;1676;35931;36448;275;2938
SAC;WS1415;FB14;2267;41203;40613;281;3112
SAN;SS18;FB14;2045;44459;36665;287;2860
SAN;WS1617;FB14;1875;44193;35879;288;3344
BAW;SS16;FB14;2213;38262;38309;301;3467
BAW;SS18;FB14;1984;40863;40275;323;2637
BAW;WS1516;FB14;2170;40154;43802;291;3471
BAW;WS1415;FB14;2236;36852;37330;306;2576
BAW;WS1718;FB14;1750;41800;41100;288;3190
BAW;WS1617;FB14;1653;41864;41793;276;3048
BAY;SS16;FB14;2024;40946;39426;316;2857
BAY;SS15;FB14;2282;42413;35659;302;3279
BAY;SS18;FB14;2212;41894;35022;277;3029
BAY;SS17;FB14;2035;40899;44125;281;2790
BAY;WS1516;FB14;2114;43341;39855;308;2810
BAY;WS1415;FB14;2175;41094;39843;289;2939
BAY;WS1718;FB14;2023;40399;35490;296;2569
BAY;WS1617;FB14;1908;42438;42244;296;3350
BER;SS16;FB14;2297;43099;36493;300;3044
BER;SS15;FB14;2328;43413;35318;276;3356
BER;SS18;FB14;2067;37507;43590;295;3331
BER;WS1415;FB14;2040;43090;44106;306;2785
BER;WS1718;FB14;1925;41982;42312;324;3121
BRA;SS16;FB14;1852;36848;41427;313;2641
BRA;SS18;FB14;1963;36254;35034;286;2558
BRA;SS17;FB14;2277;35668;37602;324;3262
BRA;WS1516;FB14;1985;44318;35234;311;3097
BRA;WS1415;FB14;2201;37099;36991;303;3439
BRA;WS1718;FB14;2274;38853;39502;313;2621
BRA;WS1617;FB14;1833;38005;38601;307;2964
BRE;SS16;FB14;1708;40818;44406;295;2611
BRE;SS15;FB14;1979;42989;35042;284;2858
BRE;SS18;FB14;2016;37417;41941;277;2868
BRE;WS1516;FB14;1858;40237;38640;276;3089
BRE;WS1415;FB14;2030;43198;44030;297;3435
BRE;WS1718;FB14;1781;37629;36735;312;3369
BRE;WS1617;FB14;1802;43432;42296;304;2577
HAM;SS16;FB14;2264;40190;40486;298;2899
HAM;SS15;FB14;1658;35076;39632;303;2629
HAM;SS18;FB14;1839;35047;44938;307;2798
HAM;SS17;FB14;1934;42785;41592;282;2889
HAM;WS1516;FB14;1721;37281;37781;299;3040
HAM;WS1415;FB14;2315;42144;38807;318;2937
HAM;WS1718;FB14;2032;36880;39270;288;3108
HAM;WS1617;FB14;2195;37842;43643;291;3295
HES;SS16;FB14;2278;35694;39970;277;2670
HES;SS15;FB14;1671;37285;39680;318;2648
HES;SS18;FB14;1658;44414;43733;313;2875
HES;WS1415;FB14;1671;40423;38624;288;3408
HES;WS1718;FB14;2206;38891;39700;316;2540
HES;WS1617;FB14;2339;40692;38900;311;2703
SAN;WS1516;FB14;1879;41085;43455;303;3094
SAN;WS1415;FB14;2180;37172;36738;304;3374
SHL;SS18;FB14;2184;38771;43877;309;2878
SHL;SS17;FB14;2035;39890;41975;297;3189
SHL;SS16;FB14;1995;42270;41705;275;3345
SHL;SS15;FB14;2205;44476;39235;289;2934
SHL;WS1718;FB14;1947;38215;42262;288;2953
SHL;WS1617;FB14;2287;38927;35718;300;3298
SHL;WS1516;FB14;1868;37749;38641;318;2765
SHL;WS1415;FB14;1923;43131;39139;295;2724
THU;SS18;FB14;1890;35216;37488;319;3355
THU;SS17;FB14;2034;42358;44423;297;2530
THU;SS16;FB14;2057;39587;36843;281;3446
THU;SS15;FB14;2268;38660;35251;292;2933
